time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2015-12-30T16:48:22.260Z,19.3345,-155.1923333,6.641,2.51,ml,48,81,0.04478,0.1,hv,hv61138586,2016-01-12T04:24:51.040Z,"11km SSE of Volcano, Hawaii",earthquake,0.27,0.65,0.232,25,reviewed,hv,hv
2015-12-30T16:46:35.120Z,-3.6526,152.2741,451.45,4.2,mb,,104,0.546,0.87,us,us10004bty,2016-01-12T02:30:00.830Z,"17km W of Namatanai, Papua New Guinea",earthquake,12.4,8.4,0.074,51,reviewed,us,us
2015-12-30T16:18:51.410Z,-15.9169,-72.0644,137.54,4.3,mb,,181,2.944,0.94,us,us10004afc,2016-01-12T02:11:54.533Z,"12km NNW of Lluta, Peru",earthquake,12.7,17.8,0.217,6,reviewed,us,us
2015-12-30T16:17:37.420Z,33.7141667,-118.4176667,4.6,2.63,ml,44,75,0.03132,0.22,ci,ci37508400,2016-01-16T00:50:06.852Z,"4km SW of Rancho Palos Verdes, California",earthquake,0.34,0.47,0.158,182,reviewed,ci,ci
2015-12-30T15:34:06.000Z,61.3319,-147.6042,14.9,2.9,ml,,,,0.51,ak,ak12347825,2016-01-12T02:05:43.040Z,"71km WNW of Valdez, Alaska",earthquake,0.1,0.3,,,reviewed,ak,ak
2015-12-30T15:31:45.500Z,44.9739,147.2573,143.97,4.2,mb,,90,3.442,1.24,us,us10004af8,2016-01-12T01:39:13.044Z,"57km WSW of Kuril'sk, Russia",earthquake,8.9,7,0.085,38,reviewed,us,us
2015-12-30T15:14:18.870Z,40.6635,-124.3713333,31.19,2.65,md,18,215,0.1197,0.08,nc,nc72571690,2016-01-07T00:16:08.173Z,"13km NW of Ferndale, California",earthquake,0.88,0.87,0.204,41,reviewed,nc,nc
2015-12-30T14:56:15.320Z,43.3138,-126.7701,10,3.2,ml,,196,1.838,0.73,us,us10004af0,2016-01-21T06:43:57.143Z,"193km W of Bandon, Oregon",earthquake,8.7,2,0.056,42,reviewed,us,us
2015-12-30T14:46:47.730Z,-5.9568,154.9611,184.56,4.5,mb,,94,3.292,0.76,us,us10004btx,2016-02-10T06:41:16.040Z,"69km WNW of Arawa, Papua New Guinea",earthquake,11.6,8.2,0.101,29,reviewed,us,us
2015-12-30T14:37:49.000Z,59.8989,-153.512,133.4,2.6,ml,,,,0.71,ak,ak12347116,2016-01-14T12:02:53.128Z,"78km SSW of Redoubt Volcano, Alaska",earthquake,0.7,0.3,,,reviewed,ak,ak
2015-12-30T14:14:42.090Z,34.182,-117.4,8.6,2.74,ml,107,27,0.08828,0.19,ci,ci37508320,2015-12-31T13:58:43.379Z,"4km S of Devore, California",earthquake,0.12,0.36,0.146,232,reviewed,ci,ci
2015-12-30T13:59:47.750Z,-2.0577,100.6579,79.28,4.2,mb,,123,2.398,0.56,us,us10004btv,2016-01-14T11:58:09.846Z,"78km S of Painan, Indonesia",earthquake,4.4,8.6,0.147,13,reviewed,us,us
2015-12-30T13:23:26.100Z,18.1732,-67.6473,70,2.7,Md,10,309.6,0.53359928,0.3,pr,pr15364004,2016-01-14T11:24:26.719Z,"45km WSW of Rincon, Puerto Rico",earthquake,2.1,1.4,0,10,reviewed,pr,pr
2015-12-30T12:57:36.210Z,33.8836,137.3211,338.23,4.5,mb,,57,1.066,0.75,us,us10004aep,2016-01-29T11:01:38.638Z,"79km SSE of Toba, Japan",earthquake,7.4,5.8,0.053,103,reviewed,us,us
2015-12-30T12:50:12.930Z,-18.0505,-178.7085,607.86,4.5,mb,,192,3.098,0.67,us,us10004bu0,2016-01-29T10:35:49.425Z,"271km SE of Lambasa, Fiji",earthquake,14.2,12.7,0.14,15,reviewed,us,us
